incidentID,taxonomy,generatedClassification,originalClassification
402,MIT,"{""_id"":""undefined"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""1. Discrimination and Toxicity\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""1.2. Exposure to toxic content\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[],""reports"":[]}","{""_id"":""67bfd0e7a7f798a64a21a830"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""1. Discrimination and Toxicity\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""1.2. Exposure to toxic content\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":402}]}"
403,MIT,"{""_id"":""undefined"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""5. Human-Computer Interaction\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""5.2. Loss of human agency and autonomy\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[]}","{""_id"":""67bfd0e7a7f798a64a21a841"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""5. Human-Computer Interaction\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""5.2. Loss of human agency and autonomy\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":403}]}"
408,MIT,"{""_id"":""new"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""2. Privacy & Security\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""2.1. Compromise of privacy by obtaining, leaking or correctly inferring sensitive information\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0e9a7f798a64a21a8ad"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""2. Privacy & Security\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""2.1. Compromise of privacy by obtaining, leaking or correctly inferring sensitive information\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":408}]}"
420,MIT,"{""_id"":""new"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""4. Malicious Actors & Misuse\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""4.3. Fraud, scams, and targeted manipulation\""""},{""short_name"":""Entity"",""value_json"":""\""Human\""""},{""short_name"":""Intent"",""value_json"":""\""Intentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0efa7f798a64a21a9c2"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""1. Discrimination and Toxicity\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""1.2. Exposure to toxic content\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":420}]}"
421,MIT,"{""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""6. Socioeconomic & Environmental Harms\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""6.3. Economic and cultural devaluation of human effort\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0efa7f798a64a21a9d7"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""6. Socioeconomic & Environmental Harms\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""6.3. Economic and cultural devaluation of human effort\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Intentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":421}]}"
422,MIT,"{""_id"":""new"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""4. Malicious Actors & Misuse\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""4.3. Fraud, scams, and targeted manipulation\""""},{""short_name"":""Entity"",""value_json"":""\""Human\""""},{""short_name"":""Intent"",""value_json"":""\""Intentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0f0a7f798a64a21a9f2"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""4. Malicious Actors & Misuse\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""4.3. Fraud, scams, and targeted manipulation\""""},{""short_name"":""Entity"",""value_json"":""\""Human\""""},{""short_name"":""Intent"",""value_json"":""\""Intentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":422}]}"
423,MIT,"{""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""1. Discrimination and Toxicity\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""1.1. Unfair discrimination and misrepresentation\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0f0a7f798a64a21aa03"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""1. Discrimination and Toxicity\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""1.1. Unfair discrimination and misrepresentation\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":423}]}"
424,MIT,"{""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""1. Discrimination and Toxicity\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""1.1. Unfair discrimination and misrepresentation\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0f1a7f798a64a21aa1e"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""1. Discrimination and Toxicity\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""1.3. Unequal performance across groups\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":424}]}"
425,MIT,"{""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""1. Discrimination and Toxicity\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""1.1. Unfair discrimination and misrepresentation\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0f1a7f798a64a21aa2f"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""1. Discrimination and Toxicity\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""1.1. Unfair discrimination and misrepresentation\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":425}]}"
426,MIT,"{""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""7. AI system safety, failures, and limitations\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""7.3. Lack of capability or robustness\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}]}","{""_id"":""67bfd0f2a7f798a64a21aa4c"",""namespace"":""MIT"",""notes"":"""",""publish"":true,""attributes"":[{""short_name"":""Risk Domain"",""value_json"":""\""7. AI system safety, failures, and limitations\""""},{""short_name"":""Risk Subdomain"",""value_json"":""\""7.3. Lack of capability or robustness\""""},{""short_name"":""Entity"",""value_json"":""\""AI\""""},{""short_name"":""Intent"",""value_json"":""\""Unintentional\""""},{""short_name"":""Timing"",""value_json"":""\""Post-deployment\""""}],""incidents"":[{""incident_id"":426}]}"
