incidentID,taxonomy,gen_Tangible Harm,orig_Tangible Harm,explanation
409,CSETv1,non-imminent risk of tangible harm (an issue) occurred,"no tangible harm, near-miss, or issue","[Tangible Harm]: The incident involves the unauthorized use and distribution of a facial recognition dataset containing images of trans individuals without proper consent or ethical approval. While there is no direct evidence of tangible harm such as physical injury or financial loss, the exposure of personal data and potential misuse of this dataset represents a non-imminent risk of tangible harm. The dataset's availability and distribution without oversight could lead to privacy violations or misuse, which are considered issues that could result in tangible harm."
410,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident involving KFC's automated push notification does not indicate any tangible harm such as physical injury, financial loss, or damage to property. The incident primarily resulted in public outrage and reputational damage, which are considered intangible harms. Therefore, based on the provided definition, no tangible harm, near-miss, or issue occurred."
412,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident involves the illegal processing of personal data during a facial recognition technology trial by the National Police Board. While this constitutes a breach of data protection regulations, there is no indication in the incident text that tangible harm, such as physical injury, financial loss, or property damage, occurred as a result of this breach. The reprimand and requirement to notify data subjects and request data erasure are corrective measures, but they do not imply that tangible harm occurred."
414,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident involves a translation error on Facebook that resulted in an offensive translation of a name. While this caused offense, there is no indication of tangible harm such as physical injury, financial loss, or damage to property. The incident primarily involves reputational harm and offense, which are considered intangible."
435,CSETv1,tangible harm definitively occurred,tangible harm definitively occurred,"[Tangible Harm]: The incident describes Coupang being fined for unfair business practices, which resulted in financial harm to the vendors who were coerced into raising prices and bearing the cost of promotional events. This financial loss to the vendors constitutes tangible harm."
452,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes the submission of ChatGPT-generated bug reports to the Immunefi platform, which were deemed nonsensical and a waste of time. However, there is no indication of any tangible harm such as loss, damage, or injury occurring as a result of these submissions. The issue primarily concerns inefficiency and wasted time, which do not constitute tangible harm according to the provided definition."
454,CSETv1,non-imminent risk of tangible harm (an issue) occurred,"no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes a study showing that facial recognition software interprets emotions differently based on race, with black players being interpreted as having more negative emotions than white players. This bias in emotion recognition could lead to non-imminent risks of tangible harm, such as unfair treatment or discrimination in scenarios where these systems are used, like job applications or security assessments. However, there is no evidence of immediate or definitive tangible harm occurring, thus it is classified as a non-imminent risk."
456,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident text describes a personal interaction with the Replika chatbot, where the user experienced discomfort and annoyance due to the chatbot's behavior. However, there is no indication of any tangible harm, such as physical injury, financial loss, or damage to property. The user's experience is more related to emotional or psychological discomfort, which does not qualify as tangible harm according to the provided definition."
457,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes CNET's use of AI-generated content and the subsequent pause in its publication due to transparency concerns. However, there is no indication of tangible harm such as loss, damage, or injury resulting from this incident. The concerns raised are primarily about transparency and potential ethical issues, which do not constitute tangible harm as defined in the taxonomy."
461,CSETv1,non-imminent risk of tangible harm (an issue) occurred,"no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes a disparity in IRS audit rates between Black and non-Black taxpayers, which could lead to financial and psychological burdens on Black taxpayers. However, the text does not provide evidence of a specific, immediate tangible harm occurring, such as financial loss or injury. Instead, it highlights a systemic issue that poses a non-imminent risk of tangible harm due to biased audit practices."
