incidentID,taxonomy,gen_Tangible Harm,orig_Tangible Harm
409,CSETv1,non-imminent risk of tangible harm (an issue) occurred,"no tangible harm, near-miss, or issue"
410,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue"
412,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue"
414,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue"
435,CSETv1,tangible harm definitively occurred,tangible harm definitively occurred
452,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue"
454,CSETv1,non-imminent risk of tangible harm (an issue) occurred,"no tangible harm, near-miss, or issue"
456,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue"
457,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue"
461,CSETv1,non-imminent risk of tangible harm (an issue) occurred,"no tangible harm, near-miss, or issue"
474,CSETv1,non-imminent risk of tangible harm (an issue) occurred,"no tangible harm, near-miss, or issue"
476,CSETv1,tangible harm definitively occurred,tangible harm definitively occurred
489,CSETv1,non-imminent risk of tangible harm (an issue) occurred,"no tangible harm, near-miss, or issue"
490,CSETv1,non-imminent risk of tangible harm (an issue) occurred,"no tangible harm, near-miss, or issue"
493,CSETv1,"no tangible harm, near-miss, or issue",non-imminent risk of tangible harm (an issue) occurred
501,CSETv1,tangible harm definitively occurred,tangible harm definitively occurred
509,CSETv1,tangible harm definitively occurred,tangible harm definitively occurred
510,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue"
519,CSETv1,"no tangible harm, near-miss, or issue",imminent risk of tangible harm (near miss) did occur
520,CSETv1,"no tangible harm, near-miss, or issue",tangible harm definitively occurred
