incidentID,taxonomy,gen_Tangible Harm,orig_Tangible Harm,explanation
409,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes unauthorized data collection and ethical oversights, but there is no indication of any physical injury, property damage, or financial loss resulting directly from this dataset’s existence or use. Therefore, no tangible harm occurred."
410,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident involved an insensitive marketing message published on an automated system, which caused offense and reputational damage but did not result in any physical injury, property damage, or financial loss. Therefore, no tangible harm occurred."
412,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident involves unlawful processing of personal data and a data breach of biometric information, which constitutes a privacy violation but does not report any physical injury, property damage, or other forms of tangible harm. Therefore, this is classified as having no tangible harm, near-miss, or issue."
414,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The translation error caused offense but did not result in any physical injury, property damage, or material loss. There was no tangible harm, near miss, or risk of physical harm associated with the incident."
435,CSETv1,tangible harm definitively occurred,tangible harm definitively occurred,[Tangible Harm]: The incident describes real financial losses incurred by hundreds of suppliers coerced into paying for ads and promotional expenses (5.7 billion won combined). This constitutes actual tangible harm (economic loss) that definitively occurred.
452,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes banning AI-generated bug reports that waste users’ and developers’ time, but does not report any actual loss, damage, injury, or imminent risk thereof. No tangible harm occurred."
454,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes a study of bias in facial recognition emotion analysis without any physical injury, property damage, or imminent risk of such harm. It reports algorithmic misinterpretation but no tangible loss, damage, or injury occurred."
456,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes user frustration and emotional responses in interacting with a chatbot, but there is no evidence of any physical loss, damage, injury, or material harm. All harms are psychological or intangible."
457,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes a media outlet pausing AI-generated content due to transparency concerns. There is no indication of physical injury, property damage, financial loss, or other tangible harm to individuals or entities. The issue is reputational and procedural, not resulting in any tangible harm."
461,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The text describes a research study on disparate IRS audit rates by race without reporting any actual losses, damages, or injuries to specific individuals. There is no indication of tangible harm occurring or an imminent risk of such harm in the incident description."
474,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes emotional distress and potential suicide risk among users but does not report any actual physical injury, loss, or damage. Therefore, there is no evidence of tangible harm occurring."
476,CSETv1,tangible harm definitively occurred,tangible harm definitively occurred,"[Tangible Harm]: The incident describes actual terrorist attacks allegedly facilitated by algorithmic recommendations, resulting in deaths (e.g., the Paris attacks in 2015 and the Istanbul attack in 2017). Therefore, tangible harm definitively occurred."
489,CSETv1,tangible harm definitively occurred,"no tangible harm, near-miss, or issue","[Tangible Harm]: The biased algorithm led to actual employment denials for Black applicants over 40, resulting in real economic loss and missed job opportunities, which constitute tangible harm."
490,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident describes procedural adjustments (closing submissions) due to AI-generated content and administrative burdens. There is no indication of physical damage, injury, or material loss and no risk of tangible harm occurred."
493,CSETv1,non-imminent risk of tangible harm (an issue) occurred,non-imminent risk of tangible harm (an issue) occurred,"[Tangible Harm]: Though there is no evidence of physical injury, the AI‐enabled deepfake impersonation is used to potentially defraud followers by selling a fake course, representing a financial loss risk to consumers. No confirmed losses are reported, but the incident clearly poses a non‐imminent risk of tangible harm (monetary loss)."
501,CSETv1,tangible harm definitively occurred,tangible harm definitively occurred,"[Tangible Harm]: The AI-driven denial of coverage led to actual physical suffering, functional decline, financial loss, prolonged pain, delayed treatment, and contributed to the patient’s death. This constitutes clear and definitive tangible harm."
509,CSETv1,tangible harm definitively occurred,tangible harm definitively occurred,"[Tangible Harm]: The incident describes victims losing significant sums of money (nearly 100 million VND and 150 million VND) due to a deepfake-enabled scam, which constitutes a definite tangible harm in the form of financial loss."
510,CSETv1,"no tangible harm, near-miss, or issue","no tangible harm, near-miss, or issue","[Tangible Harm]: The incident involves the spread of AI-generated fake images and misinformation without any actual physical loss, damage, or injury occurring or any risk thereof. Therefore, there is no tangible harm, near-miss, or issue."
519,CSETv1,tangible harm definitively occurred,imminent risk of tangible harm (near miss) did occur,"[Tangible Harm]: The delivery robot became stuck, fell into a planter, and ultimately collided with a scooter on its route. These events involve damage to physical objects (the planter, the robot itself, and the scooter), constituting tangible harm."
520,CSETv1,"no tangible harm, near-miss, or issue",tangible harm definitively occurred,"[Tangible Harm]: The incident describes Amazon phasing out and replacing checkout-less technology and resulting job cuts, but it does not report any physical injury, property damage, or risk of imminent or non-imminent tangible harm. It is a business and technological change without any loss, damage, or injury event."
